"media_id","category","title","alt_text","mime_type","width","height","bytes","sha256","source_url","local_path"
"73","photos","new-portrait-11-800×800-1-1-800×800","","image/jpeg","800","800","73310","e7fa73e44588d5d5d7429134df7a1aab4639aba95803405f77c9156dfdce41db","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-11-800x800-1-1-800x800.jpg","photos\0073-new-portrait-11-800x800-1-1-800x800.jpg"
"74","photos","new-portrait-9-800×800-1-800×800","","image/jpeg","800","800","120081","cc7accf74b986ecf8f70c6be2972c5ca4da44b73f51e1c6c370367ea6e5f36a8","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/new-portrait-9-800x800-1-800x800.jpg","photos\0074-new-portrait-9-800x800-1-800x800.jpg"
"75","photos","0-493c6ad5-e709-4117-9da6-0ca19f3c7b06-800×600","","image/jpeg","800","600","107448","da410d2088d5c08743acb6628edd9288311c7fa7fe5939e5f0920d3ffbbe6de8","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-493c6ad5-e709-4117-9da6-0ca19f3c7b06-800x600.jpg","photos\0075-0-493c6ad5-e709-4117-9da6-0ca19f3c7b06-800x600.jpg"
"76","photos","0-7e0e2fed-102f-4a8b-b891-fefd97345194-800×600","northampton county snow removal company","image/jpeg","800","600","94918","d836f9e0310aa337ee01df2f659c921cc426fa5d24de66dd0e91c9d82843c164","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-7e0e2fed-102f-4a8b-b891-fefd97345194-800x600.jpg","photos\0076-0-7e0e2fed-102f-4a8b-b891-fefd97345194-800x600.jpg"
"77","photos","0-f58695a2-c35b-40d8-aa89-3409307dca2d-800×600","residential snow plowing","image/jpeg","800","600","88306","ded4b210f659b8b630ae37ad357edd786c2b556800f2247f6327fabb5e285a1d","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-f58695a2-c35b-40d8-aa89-3409307dca2d-800x600.jpg","photos\0077-0-f58695a2-c35b-40d8-aa89-3409307dca2d-800x600.jpg"
"78","photos","0-8864dd64-dc4f-417f-8dc6-84e8941a906d-800×600","winter maintenance","image/jpeg","800","600","69300","4e0e08c1a7ecf380658a3274a4c2576ea22221d9ec4bbd56aa441a5a3cc1b2c8","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-8864dd64-dc4f-417f-8dc6-84e8941a906d-800x600.jpg","photos\0078-0-8864dd64-dc4f-417f-8dc6-84e8941a906d-800x600.jpg"
"79","photos","0-7f1ea06b-7cc4-4a94-877f-3544e9a326d7-800×1080","easton sidewalk clearing company","image/jpeg","800","1080","117524","de65ba1106b1b2ac2852645e9bba383d43380c66609a8a5167a1510342ae13c5","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-7f1ea06b-7cc4-4a94-877f-3544e9a326d7-800x1080.jpg","photos\0079-0-7f1ea06b-7cc4-4a94-877f-3544e9a326d7-800x1080.jpg"
"80","photos","0-4b361d72-2371-4a49-983a-0a2cc7c3ffee-800×1080","bethlehem parking lot clearing company","image/jpeg","800","1080","163945","e5a7083b9f3ea511ce0e9c0c72881a2e3b0ed38a82784718756ab868f89f1c1b","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-4b361d72-2371-4a49-983a-0a2cc7c3ffee-800x1080.jpg","photos\0080-0-4b361d72-2371-4a49-983a-0a2cc7c3ffee-800x1080.jpg"
"81","photos","0-538c9ebe-e9ce-4310-b889-4b4b3da2854e-800×1080","allentown sidewalk clearing company","image/jpeg","800","1080","115386","04831a13144cbab1ae350d554520c4e6fc38983389e745c5a74babc1838c6263","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-538c9ebe-e9ce-4310-b889-4b4b3da2854e-800x1080.jpg","photos\0081-0-538c9ebe-e9ce-4310-b889-4b4b3da2854e-800x1080.jpg"
"82","photos","0-95464aea-17b9-4f86-9656-62ac2a10a2e5-800×1080","","image/jpeg","800","1080","118451","2c4fa4a5ed78f3da7c15757efc270f40cf8200f9dada1935ddd93d53f8f2487b","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-95464aea-17b9-4f86-9656-62ac2a10a2e5-800x1080.jpg","photos\0082-0-95464aea-17b9-4f86-9656-62ac2a10a2e5-800x1080.jpg"
"83","photos","0-e099e04f-a389-41c7-abda-d76f47d8adfe-1920×1080","professional winter maintenance company in pennsylvania","image/jpeg","1920","1080","310004","13ecf944c11601293360767fd310f2476b4aaf3e3d0b0eedf9f78fc99821de15","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-e099e04f-a389-41c7-abda-d76f47d8adfe-1920x1080.jpg","photos\0083-0-e099e04f-a389-41c7-abda-d76f47d8adfe-1920x1080.jpg"
"106","photos","0-df08fb11-0f35-4857-8dac-76bd181da72c-1080×600","","image/jpeg","1080","600","159580","e97ba8b305378a576f81e04dfdbdd8e3a18a24e06f3d85f37fb01fe1cd67e115","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-df08fb11-0f35-4857-8dac-76bd181da72c-1080x600.jpg","photos\0106-0-df08fb11-0f35-4857-8dac-76bd181da72c-1080x600.jpg"
"107","photos","0-36986686-2f9e-4688-8e75-51f975ebd1f3-1080×600","winter maintenance","image/jpeg","1080","600","138515","a619786426dfaaaffc0b51853f5914aa2e82e70d96498c01119b6d2b6d6fde54","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-36986686-2f9e-4688-8e75-51f975ebd1f3-1080x600.jpg","photos\0107-0-36986686-2f9e-4688-8e75-51f975ebd1f3-1080x600.jpg"
"108","photos","0-df6e2bbf-4304-4780-ad10-b1bf2a89e697-1080×600","","image/jpeg","1080","600","98256","17161617c42015c3b3655655a107e84bf92601e87f550fce6b01d6e0d467c1c8","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-df6e2bbf-4304-4780-ad10-b1bf2a89e697-1080x600.jpg","photos\0108-0-df6e2bbf-4304-4780-ad10-b1bf2a89e697-1080x600.jpg"
"110","photos","0-5495dc3f-cdea-4779-86e5-19d5c08c660a-1920×1080","lehighton snow plowing company","image/jpeg","1920","1080","232960","d300c32efb88b18faf653ebc7a124135fda1115c2e355d27b10ae1e1984039bb","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/0-5495dc3f-cdea-4779-86e5-19d5c08c660a-1920x1080.jpg","photos\0110-0-5495dc3f-cdea-4779-86e5-19d5c08c660a-1920x1080.jpg"
"127","photos","haul-1-g","new york area snow removal","image/jpeg","1400","1005","1164880","a53b34eff4753da76af47a764be74e37d855d1aef4b5cf8daa182c3bfcef4248","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/haul-1-g.jpg","photos\0127-haul-1-g.jpg"
"128","photos","shovel1","winter maintenance","image/jpeg","275","183","9144","ebe7dd7f542f0a1ccdd1b023f3ba6026645892fffa1a7dc7f6bd5ef8d9cbdb06","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/shovel1.jpeg","photos\0128-shovel1.jpeg"
"129","photos","parkinglot-1-g","snow and ice solutions company","image/jpeg","1920","744","305252","45e428d376243c28dd86b9080e7ac31e9717b327bd5722a18558cc7fb2f7da02","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/parkinglot-1-g.jpg","photos\0129-parkinglot-1-g.jpg"
"130","photos","deice-2-g","salting near me","image/jpeg","600","400","97049","6062e16d7856e38c2e1b9b838a1ad2c62671a57ba138b7e652b3e7d78b34b9f8","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/deice-2-g.jpg","photos\0130-deice-2-g.jpg"
"131","photos","deice-1-g","northampton sidewalk clearing","image/jpeg","1800","1440","180633","d9a7415cb89c47ac397d8ccf6794da33210a39d50801aa7db912a02d7708aece","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/deice-1-g.jpeg","photos\0131-deice-1-g.jpeg"
"132","photos","Plow Truck Cleaning Snow Filled Suburban NeighborhoodStreet","macungie snow management","image/jpeg","2560","1700","930376","9e034935315151513445909eb714b34db0e511cf6b3748d309296614dca9f448","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow-2-g-scaled.jpg","photos\0132-plow-2-g-scaled.jpg"
"133","photos","White snowplow service truck with orange lights and yellow plow blade clearing residential roads of snow while flakes are still falling","monroe county snow plowing","image/jpeg","2560","1700","616351","d443d0b45efa9af08fa54c16ce1269c420117dc72653e8c9b81e6e93f4e21b8e","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow-1-g-scaled.jpg","photos\0133-plow-1-g-scaled.jpg"
"134","photos","deicing2-g","parking lot de-icing near me","image/webp","768","323","95012","32027af15f417e846ed5864a33c63909d71e6f1f598219a161fb1e3ad23d338d","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/deicing2-g.webp","photos\0134-deicing2-g.webp"
"135","photos","deicing1-g","parking lot maintenance near me","image/jpeg","275","183","9541","f6b2b5ba9dc538c61d7d2277e4b173981863a8ff8ced6a8513bbeb2fb5bbe412","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/deicing1-g.jpeg","photos\0135-deicing1-g.jpeg"
"136","photos","deicing-g","sidewalk clearing near me","image/jpeg","1000","664","295222","6515509a40d8c40d40aad903952ee4614512b8cb51fcffb5f318d6bda2dbcf41","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/deicing-g.jpg","photos\0136-deicing-g.jpg"
"137","photos","plow4-g","snow removal near me","image/jpeg","450","300","28577","94f601f67e33c789a2a584a05794e3d5b8bc4dc4cf894a0246562e10a40ad347","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow4-g.jpeg","photos\0137-plow4-g.jpeg"
"138","photos","plow3-g","snow plow maintenance","image/jpeg","773","1000","82297","eddb2e77b8ccda45fb384cf690b120ade99d0cce6c8317ef436c546f84d8f2d4","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow3-g.jpeg","photos\0138-plow3-g.jpeg"
"139","photos","plow2-g","parking lot clearing near me","image/jpeg","276","183","9172","0b67feb09a06259d7866354b07289270d73384b061f6a36bf3baa3d880de14cd","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow2-g.jpeg","photos\0139-plow2-g.jpeg"
"140","photos","plow-g","snow plowing near me","image/jpeg","300","168","9355","de3768d83f56522ca27ec05cf90cc05bb225efbdf4461606a6b18e397eb8934e","https://americansnowandicesolutions.com/wp-content/uploads/2024/07/plow-g.jpeg","photos\0140-plow-g.jpeg"
